Title,Identifier,Format,TileMatrixSet,WGS84BoundingBox,style,TileMatrix,MinTileRow,MaxTileRow,MinTileCol,MaxTileCol,url
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,6,21,35,20,41,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,7,42,71,41,83,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,8,85,143,82,167,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,9,170,287,165,335,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,10,341,574,331,671,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,11,682,1149,663,1342,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,12,1365,2298,1326,2684,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,13,2731,4596,2653,5368,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,14,5462,9193,5307,10737,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,15,10924,18386,10615,21474,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
